occasion,replicate,concentration,viability
30.06.26,Rep_1,Control,97.7346384979621
30.06.26,Rep_2,Control,101.600694330005
30.06.26,Rep_3,Control,100.664667172033
30.06.26,Rep_1,50,140.076683915054
30.06.26,Rep_2,50,137.924480625776
30.06.26,Rep_3,50,138.692418399745
30.06.26,Rep_1,100,138.046427825934
30.06.26,Rep_2,100,138.247475912681
30.06.26,Rep_3,100,137.304857014161
30.06.26,Rep_1,200,128.514770991947
30.06.26,Rep_2,200,127.891851510058
30.06.26,Rep_3,200,127.852301066763
30.06.26,Rep_1,500,137.173022203179
30.06.26,Rep_2,500,138.774815156609
30.06.26,Rep_3,500,136.569877942938
08.07.26,Rep_1,Control,100.541836361854
08.07.26,Rep_2,Control,98.1891258432774
08.07.26,Rep_3,Control,101.269037794869
08.07.26,Rep_1,50,140.076683915054
08.07.26,Rep_2,50,137.924480625776
08.07.26,Rep_3,50,138.692418399745
08.07.26,Rep_1,100,78.6241990535687
08.07.26,Rep_2,100,83.5087469142954
08.07.26,Rep_3,100,83.0355312758999
08.07.26,Rep_1,200,85.6823306092986
08.07.26,Rep_2,200,84.0621685930969
08.07.26,Rep_3,200,85.6823306092986
08.07.26,Rep_1,500,85.2117885055832
08.07.26,Rep_2,500,86.3025906551051
08.07.26,Rep_3,500,83.2547611196763
15.07.26,Rep_1,Control,99.5682382133995
15.07.26,Rep_2,Control,100.803970223325
15.07.26,Rep_3,Control,99.6277915632754
15.07.26,Rep_1,50,100.972275445366
15.07.26,Rep_2,50,96.4058782115835
15.07.26,Rep_3,50,101.199525893183
15.07.26,Rep_1,100,107.831265508685
15.07.26,Rep_2,100,107.875930521092
15.07.26,Rep_3,100,109.692307692308
15.07.26,Rep_1,200,113.399503722084
15.07.26,Rep_2,200,114.158808933002
15.07.26,Rep_3,200,114.545905707196
15.07.26,Rep_1,500,102.307692307692
15.07.26,Rep_2,500,101.473945409429
15.07.26,Rep_3,500,99.9404466501241
16.07.26,Rep_1,Control,100.905837004405
16.07.26,Rep_2,Control,97.180616740088
16.07.26,Rep_3,Control,101.913546255506
16.07.26,Rep_1,50,95.9870594713655
16.07.26,Rep_2,50,95.3262665198237
16.07.26,Rep_3,50,95.276707048458
16.07.26,Rep_1,100,87.5536894273127
16.07.26,Rep_2,100,86.294052863436
16.07.26,Rep_3,100,86.0379955947135
16.07.26,Rep_1,200,86.5624999999999
16.07.26,Rep_2,200,88.3962004405285
16.07.26,Rep_3,200,88.259911894273
16.07.26,Rep_1,500,101.996145374449
16.07.26,Rep_2,500,104.106552863436
16.07.26,Rep_3,500,104.300660792951
